EvaluationID,SlopeCollected,SlopeStartTransect,SlopeEndTransect,SlopeReachLength,TotalElevationChangePass1,TotalElevationChangePass2,TotalElevationChangePass3,SlopeMethod,SlopeFlag,PoolsCollected,PoolReachLength,RecordID
XE-LS-5004_2013-06-05,Fully Collected,K,A,150,0.53,,,Transit,Only one pass,Not Collected,150,XE-LS-5004_2013-06-05
MS-SS-3106_2013-06-14,Partially Collected,I,A,120,16.93,,,Transit,Only one pass,Not Collected,150,MS-SS-3106_2013-06-14
XE-LS-5005_2013-06-16,Fully Collected,K,A,150,2.44,,,Transit,Only one pass,Not Collected,150,XE-LS-5005_2013-06-16
XE-LS-5008_2013-06-08,Fully Collected,K,A,150,1.1,,,Transit,Only one pass,Not Collected,150,XE-LS-5008_2013-06-08
XE-LS-5010_2013-06-11,Fully Collected,K,A,150,5.09,,,Transit,Only one pass,Not Collected,150,XE-LS-5010_2013-06-11
XE-RO-5083_2013-06-05,Fully Collected,K,A,150,0.9,,,Transit,Only one pass,Not Collected,150,XE-RO-5083_2013-06-05
XE-RO-5084_2013-06-13,Fully Collected,K,A,360,0.689,,,Transit,Only one pass,Not Collected,360,XE-RO-5084_2013-06-13
XE-SS-5104_2013-06-07,Fully Collected,K,A,150,3.25,,,Transit,Only one pass,Not Collected,150,XE-SS-5104_2013-06-07
XE-SS-5113_2013-06-08,Fully Collected,K,A,150,2.55,,,Transit,Only one pass,Not Collected,150,XE-SS-5113_2013-06-08
XN-LS-4006_2013-06-11,Fully Collected,K,A,150,1.315,,,Transit,Only one pass,Not Collected,150,XN-LS-4006_2013-06-11
XN-LS-4019_2013-06-07,Fully Collected,K,A,150,0.915,,,Transit,Only one pass,Not Collected,150,XN-LS-4019_2013-06-07
XN-RO-4082_2013-06-09,Fully Collected,K,A,440,2.13,,,Transit,Only one pass,Not Collected,440,XN-RO-4082_2013-06-09
XN-SS-4101_2013-06-06,Fully Collected,K,A,150,5.452,,,Transit,Only one pass,Not Collected,150,XN-SS-4101_2013-06-06
XN-SS-4113_2013-06-04,Fully Collected,K,A,150,7.225,,,Transit,Only one pass,Not Collected,150,XN-SS-4113_2013-06-04
XN-SS-4124_2013-06-09,Fully Collected,K,A,150,12.84,,,Transit,Only one pass,Not Collected,150,XN-SS-4124_2013-06-09
AR-LS-8003_2013-06-19,Fully Collected,K,A,280,2.14,,,Transit,Only one pass,Not Collected,280,AR-LS-8003_2013-06-19
AR-LS-8007_2013-06-18,Fully Collected,K,A,200,1.66,,,Transit,Only one pass,Not Collected,200,AR-LS-8007_2013-06-18
AR-LS-8013_2013-06-13,Fully Collected,K,A,150,6.2,,,Transit,Only one pass,Not Collected,150,AR-LS-8013_2013-06-13
AR-LS-8014_2013-06-09,Fully Collected,K,A,150,1.34,,,Transit,Only one pass,Not Collected,150,AR-LS-8014_2013-06-09
AR-LS-8018_2013-06-16,Fully Collected,K,A,150,1.1,,,Transit,Only one pass,Not Collected,150,AR-LS-8018_2013-06-16
AR-LS-8026_2013-06-21,Fully Collected,K,A,360,1.38,,,Transit,Only one pass,Not Collected,360,AR-LS-8026_2013-06-21
XS-RO-6082_2013-07-22,Fully Collected,K,A,150,0.295,,,Transit,Only one pass,No Flow Not Collected,150,XS-RO-6082_2013-07-22
MS-LS-3006_2013-07-08,Fully Collected,K,A,240,4.475,,,Transit,Only one pass,Not Collected,240,MS-LS-3006_2013-07-08
MS-RO-3086_2013-07-07,Fully Collected,K,A,200,3.05,,,Transit,Only one pass,Not Collected,200,MS-RO-3086_2013-07-07
AR-LS-8038_2013-06-23,Fully Collected,K,A,280,4.64,,,Transit,Only one pass,Not Collected,280,AR-LS-8038_2013-06-23
AR-LS-8036_2013-06-21,Fully Collected,K,A,150,1.96,,,Transit,Only one pass,Not Collected,150,AR-LS-8036_2013-06-21
AR-LS-8029_2013-06-11,Fully Collected,K,A,150,1.13,,,Transit,Only one pass,Not Collected,150,AR-LS-8029_2013-06-11
AR-SS-8008_2013-06-22,Fully Collected,K,A,150,1.47,,,Transit,Only one pass,Not Collected,150,AR-SS-8008_2013-06-22
AR-SS-8010_2013-06-22,Fully Collected,K,A,150,4.74,,,Transit,Only one pass,Not Collected,150,AR-SS-8010_2013-06-22
