system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
0000000000000000018a_0,BI-TR-53002_2022-07-09,0.0,179.0,1277.8381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.40368787558262,37.44977767595061]}"
00000000000000000422_0,OT-LS-7072_2021-08-05,0.0,317.0,748.1815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.91827781047247,48.86089706704065]}"
000000000000000005e8_0,KN-RV-17065_2019-09-16,0.0,216.0,1927.3616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.22093395253789,41.54735301290786]}"
00000000000000000b15_0,TR-RV-12850_2018-07-05,0.0,274.0,1632.4097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.86950843910849,38.104649518068385]}"
00000000000000000198_0,FI-RV-21516_2022-07-10,0.01,564.0,1486.8464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.11637920203009,39.544918413087146]}"
000000000000000003a3_0,XN-RO-4083_2021-09-03,0.01,378.0,1556.6047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.70487469322049,41.97333412063578]}"
00000000000000000637_0,XS-RM-6076_2014-08-14,0.01,530.0,1391.1105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.78364779507407,39.28108321414291]}"
0000000000000000065b_0,XN-RO-4083_2013-07-18,0.01,560.0,1556.5876,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.70379671487952,41.9734239521642]}"
000000000000000007d4_0,PR-TR-99979_2020-07-03,0.01,172.0,1246.8141,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.25138684066954,38.730685439566614]}"
000000000000000007e6_0,PR-RV-10172_2016-07-27,0.01,199.0,1547.4546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.61897745493124,39.0508450068246]}"
0000000000000000039c_0,HU-RV-74468_2021-08-17,0.02,156.0,1293.541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80505057024536,41.77426745367561]}"
0000000000000000010e_0,ENO-LS-1109_2022-08-03,0.03,184.0,1796.6864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.2830304100798,41.547712339021516]}"
00000000000000000188_0,OT-RO-7100_2022-07-12,0.03,186.0,251.70421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.42679287551191,38.94637093928221]}"
00000000000000000238_0,OT-SS-7149_2022-05-26,0.03,205.0,761.91504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.8562042243398,48.938691170645754]}"
000000000000000003cf_0,ENO-LS-1061_2021-07-09,0.03,200.0,1849.7535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.35336849682636,41.57672792269846]}"
000000000000000004b9_0,UC-RV-10317_2021-06-23,0.03,430.0,1484.3793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.80626704310647,38.36938303229638]}"
000000000000000006ad_0,OT-LS-7016_2013-09-20,0.03,400.0,770.1772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.3273797394242,48.808525285976245]}"
00000000000000000b0b_0,UC-RV-10317_2016-07-20,0.03,442.0,1484.3793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.80626704310647,38.36938303229638]}"
0000000000000000035f_0,PC-TR-25465_2021-09-16,0.04,981.0,600.8559,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.43432500105294,44.81317822831775]}"
00000000000000000593_0,RS-RV-12777_2019-08-15,0.04,601.0,1852.9438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.6355917134056,41.467672447206795]}"
00000000000000000b96_0,FR-TR-1325_2019-09-16,0.04,431.0,2297.8503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.81406866323276,37.28942839773664]}"
00000000000000000ba4_0,FR-TR-1097_2019-09-16,0.04,1139.0,2273.353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.731693151679,37.1756118512397]}"
00000000000000000ba5_0,FR-TR-1097_2017-09-23,0.04,662.0,2273.727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.73061517333805,37.177318650279524]}"
00000000000000000007_0,RS-LS-12649_2023-06-09,0.05,228.0,2076.6492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.25416704376846,42.23519302595577]}"
0000000000000000031e_0,PR-TR-11769_2021-09-24,0.05,239.0,1263.1481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.36169995755941,38.80614392343213]}"
00000000000000000361_0,PC-TR-24693_2021-09-03,0.05,974.0,573.52325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.61201176425178,44.780120225862156]}"
000000000000000003f9_0,XE-RO-5082_2021-06-15,0.05,624.0,1247.9279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.52160007813269,38.286827857686426]}"
000000000000000005c3_0,KS-LS-17249_2018-07-02,0.05,330.0,2269.0151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69802919993379,42.110506864520374]}"
000000000000000006fa_0,MP-RM-2051_2015-08-14,0.05,630.0,334.3192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28692976005632,39.57815607859936]}"
000000000000000007de_0,PR-RV-11132_2016-06-07,0.05,172.0,1620.244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.68141036717756,39.50665018198389]}"
00000000000000000b9b_0,FR-TR-1267_2019-09-17,0.05,1133.0,2269.7727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.74660518539538,37.13887075611954]}"
00000000000000000bf1_0,NW-TR-001_2016-08-03,0.05,310.0,2237.387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.39563797817173,40.08112280617494]}"
00000000000000000bfd_0,LS-RV-10953_2017-09-18,0.05,1270.0,1787.5156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.17025982194984,40.78531215739258]}"
000000000000000000d0_0,LA-RV-28229_2022-08-04,0.06,284.0,1834.0216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.35009796754872,42.471809271792154]}"
000000000000000000e4_0,RG-LS-12873_2022-08-08,0.06,216.0,2988.169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.34120007195409,39.27497467021094]}"
00000000000000000108_0,OT-RO-7102_2022-08-04,0.06,261.0,737.78937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.90021252469796,46.61187492171184]}"
0000000000000000024a_0,PR-RV-10172_2022-05-19,0.06,201.0,1547.5171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.61906728645965,39.05093483835301]}"
000000000000000002c1_0,RA-RV-10578_2021-08-18,0.06,611.0,1948.01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.58320620949588,42.003158188068454]}"
0000000000000000047a_0,OW-TR-28215_2021-07-12,0.06,180.0,1504.1481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.72859936528495,42.818109813819305]}"
000000000000000005eb_0,KN-RV-10217_2017-08-29,0.06,610.0,1930.6705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.16883166605896,41.52732058207208]}"
00000000000000000717_0,MN-RO-1085_2015-09-28,0.06,250.0,1282.5875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18854593931783,43.731606626238694]}"
00000000000000000892_0,MB-RV-10514_2017-08-15,0.06,575.0,1256.3612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.26135356604142,38.81683387531307]}"
