system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000032_0,RI-TR-63084_2023-05-28,0.0,150.0,2127.4958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.59641866373539,38.35093450012406]}"
00000000000000000e3f_0,RI-TR-63084_2023-05-28,0.0,150.0,2127.2542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.59525983701887,38.34998228592289]}"
0000000000000000077b_0,KN-RV-17065_2019-09-16,0.0,216.0,1926.4169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.2190677712063,41.54755350605201]}"
00000000000000000ca8_0,TR-RV-12850_2018-07-05,0.0,274.0,1631.6047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.87206196897476,38.1030713469298]}"
000000000000000005b5_0,OT-LS-7072_2021-08-05,0.0,317.0,744.3716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.91619603347269,48.863540977755484]}"
000000000000000006a9_0,RA-TR-25808_2020-07-08,0.01,150.0,2067.3154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.05688576440049,41.43019759733464]}"
000000000000000006bd_0,RA-TR-1254_2018-06-07,0.01,150.0,1984.0889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.76719705157764,41.32473538297901]}"
00000000000000000708_0,RA-RV-17925_2020-07-09,0.01,150.0,1959.1073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.67848841727083,41.24801027456236]}"
00000000000000000935_0,SL-SS-16353_2017-05-30,0.01,150.0,1314.45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74021656554625,40.565263709172996]}"
0000000000000000093a_0,SL-SS-12513_2016-08-03,0.01,150.0,1294.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74611849696292,40.65757458776912]}"
00000000000000000953_0,GS-TR-82602_2020-09-03,0.01,150.0,1632.4576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.4715797887013,37.77525813344891]}"
00000000000000000977_0,PR-RV-10492_2018-06-11,0.01,150.0,1394.0648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.27592214553822,39.24951927882882]}"
00000000000000000a4f_0,SL-SS-16353_2017-06-27,0.01,150.0,1315.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74032436338035,40.565335574395725]}"
00000000000000000967_0,PR-TR-99979_2020-07-03,0.01,172.0,1245.398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.25334748244829,38.73092186530662]}"
00000000000000000979_0,PR-RV-10172_2016-07-27,0.01,199.0,1541.6073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.62047097276226,39.0523211076589]}"
000000000000000000a3_0,PN-LS-10457_2023-08-06,0.01,314.0,2232.8936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.45092294603754,42.30124002942829]}"
00000000000000000eb0_0,PN-LS-10457_2023-08-06,0.01,314.0,2231.3118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.44935089429033,42.30012611847598]}"
00000000000000000536_0,XN-RO-4083_2021-09-03,0.01,378.0,1552.6008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.70382597879744,41.97062407226094]}"
000000000000000007ca_0,XS-RM-6076_2014-08-14,0.01,530.0,1388.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.78001193263275,39.27847198043599]}"
000000000000000007ee_0,XN-RO-4083_2013-07-18,0.01,560.0,1552.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.70319715809855,41.9700042347149]}"
0000000000000000032b_0,FI-RV-21516_2022-07-10,0.01,564.0,1486.91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.11609405559854,39.541336998875046]}"
00000000000000000499_0,CAS-LS-1012_2021-08-06,0.02,150.0,1478.5758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.28114102651723,43.37512205267613]}"
000000000000000006be_0,RA-TR-1254_2017-06-08,0.02,150.0,1984.4796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.76711620320206,41.32483419766026]}"
00000000000000000118_0,KN-LS-10769_2023-06-24,0.03,150.0,1987.2898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.4997373985766,41.42260683318383]}"
000000000000000006ad_0,RA-TR-1449_2018-06-06,0.03,150.0,1933.8901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.66156415731801,41.14710251869721]}"
00000000000000000f25_0,KN-LS-10769_2023-06-24,0.03,150.0,1988.2388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.49820127944075,41.422067844013355]}"
000000000000000002a1_0,ENO-LS-1109_2022-08-03,0.03,184.0,1797.2657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.28335611804145,41.5490986083407]}"
00000000000000000562_0,ENO-LS-1061_2021-07-09,0.03,200.0,1850.809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.35522134077102,41.57774588275127]}"
000000000000000003cb_0,OT-SS-7149_2022-05-26,0.03,205.0,762.6063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.85544297080769,48.93924200674824]}"
00000000000000000840_0,OT-LS-7016_2013-09-20,0.03,400.0,768.4204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.3320083775968,48.809462397651494]}"
0000000000000000064c_0,UC-RV-10317_2021-06-23,0.03,430.0,1482.4263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.8090721012523,38.37244915117872]}"
00000000000000000c9e_0,UC-RV-10317_2016-07-20,0.03,442.0,1488.3198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.80923379800343,38.372152707134966]}"
